Sentence,Person,Organization,Place
"10월까지 두 자릿수였던 가입자 증가율은 11월 9.3%, 12월 7.2%에 이어 연속 감소세다.",NaN,NaN,NaN
"4일 법사위 전체회의, 5일 국회 본회의 예정(지디넷코리아=권상희 기자)국회 법제사법위원회에 계류 중인 여객자동차 운수사업법 개정안(타다금지법)을 놓고 해당 법안이 국회 문턱을 넘을지 업계가 예의주시하고 있다.원안대로 통과될 경우, 수정 통과될 경우, 혹은 통과되지 못하느냐에 따라 국내 모빌리티 산업 지형도가 크게 뒤바뀔 수 있어서다.국회에 따르면, 5일 개최될 본회의에 앞서 법사위는 4일 전체회의를 개최할 예정이다.",NaN,법사위#국회#국회#국회@,NaN
배상액은 최소 3억1000만달러에서 최대 5억달러에 이를 전망이다.아이폰 운영체제(OS)인 iOS 10.2.1 이후 버전을 쓰는 아이폰6·6플러스·6s·6s플러스·7·7플러스·SE 소비자들이 지급 대상이다.,NaN,NaN,NaN
개정안이 국회를 통과하면 타다는 불법이 돼 더 이상 운행이 불가하다.,NaN,타다,NaN
내년부터 2023년까지 첨단IT융합 ‘나라장터’로 개편 올해는 블록체인 구현 등 초기분석설계(ISMP) 주력 [파이낸셜뉴스] 세계 최고 수준의 투명성과 편의성을 인정받고 있는 국가조달시스템 '나라장터'에 블록체인이 접목된다.,NaN,NaN,NaN
그 이유는 무엇일까요.,NaN,NaN,NaN
이통3사가 동일한 주파수를 경매낙찰가에 따라 재할당받게 될 경우 최대 8~10조원 가량이 소요된다는 뜻이다.이에 따라 과기정통부는 주파수 재할당 대가와 관련해 적정가치 환수를 기본 원칙으로 하고 있다.,NaN,이통3사@#과기정통부@,NaN
"대형사 고객사인 만큼, 애플의 생산 차질은 LG이노텍에 직격탄이다.",NaN,애플@#LG이노텍@,NaN
지난해 4월 유럽 최초로 5G 상용 서비스를 시작한 이통사이기도 하다.,NaN,이통사@,유럽
"요기요 또한 '안심하고 배달 받는 방법'을 공지, 선 결제와 (배달 음식) 문 앞에 놓기를 권장하는 내용을 올렸다.업체들의 이같은 조치는 배달 노동자인 라이더와 소비자들의 안전을 보장하기 위해 마련됐다.",NaN,요기요,NaN
"4시 경부터 화성을 필두로 30분 시차를 두면서 8도의 등간격으로 목성, 토성이 차례로 떠오른다.",NaN,NaN,화성@#목성#토성@
"이번 리포트는 칸 영화제가 열린 2019년 5월부터 올해 2월까지 웹사이트에 유입된 2만개 이상의 ‘기생충’ 관련 키워드 유입 데이터를 분석했다.인사이트 리포트에 따르면, 영화 기생충에 쏠려 있던 대중의 관심은 아카데미 시상식을 기점으로 봉준호 감독으로 옮겨갔다.",봉준호,인사이트,NaN
"이 프로세서는 2.2GHz 24코어이다.인텔 다이나믹 로드밸런서로 기존 밸런싱 대비 성능이 3.7배 좋아졌고 프로세싱 속도도 전작보다 1.8배 향상됐다.이처럼 인텔은 5G 인프라스트럭처에 대한 시장수요를 겨냥해 기지국용 칩, 데이터센터용 CPU인 인텔 제온 스케일러블 프로세서, 5G 스트럭처드 ASIC '다이아몬드 메사', 5G용 네트워크 어댑터 등의 4가지 제품을 선보였다.5G 통신망 도입으로 전세계에 5G 네트워크 장비 수요가 급증하고 있다.",NaN,인텔#인텔@,NaN
보통 0.6% 수준이다.,NaN,NaN,NaN
생산기사량이 많으면 어뷰징 기사가 몇 개 걸려도 제재를 피할 수 있다.,NaN,NaN,NaN
일부 사용자들은 카카오톡 로그인이 제대로 안 되거나 메시지 송수신이 지연되는 불편을 겪었다.,NaN,NaN,NaN
화성처럼 낮은 기압과 온도에서 살 수 있는 지구 작물은 없기 때문이다.,NaN,NaN,화성@#지구
조합원 찬반투표서 84.2% 찬성 확정(지디넷코리아=박영민 기자)SK이노베이션 노사가 올해 임금교섭을 마무리했다.,NaN,SK이노베이션,NaN
"스타트업 생태계의 다양성 면에서 여성으로서 책임감을 느낀다.―스타트업 어떤 면을 보고 투자하나.▷이 대표=TBT는 '로컬 탤런트, 고잉 글로벌'을 할 수 있는 스타트업을 찾는다.",이 대표,TBT,NaN
전체 연구원 수는 33만7420명이며 이중 서비스분야 재직자는 5만5189명(16.4%)이다.,NaN,NaN,NaN
지난 11일(현지시간) 미국 샌프란시스코에서 연 '갤럭시 언팩 2020'에선 갤럭시S20 이름을 단 스마트폰 3종(갤럭시S20·갤럭시S20플러스·갤럭시S20울트라)을 선보였다.,NaN,NaN,미국 샌프란시스코@
서울 시민이 제안한 안건을 투표하는 과정에 블록체인을 접목해 데이터 위변조를 막아 시민들의 의견을 투명하고 정확하게 시정에 활용할 수 있도록 해 민주주의를 정착시킨다는 계획이다.,NaN,NaN,서울
연구팀은 이 전자들이 적어도 2억4천만년 전에 이뤄진 강력한 폭발로 가속된 것으로 추정하고 있다.,NaN,NaN,NaN
T전화의 그룹통화 기능은 최대 30명까지 함께 통화가 가능하며 수신자는 이통사와 앱 설치 유무와 상관없이 통화할 수 있다.,NaN,이통사@,NaN
시작은 지난달 19일 이 건물 입주민 A씨(77세 남성)가 확진 판정을 받으면서부터다.,NaN,NaN,NaN
"© News1 여주연 기자(서울, 용인=뉴스1) 강은성 기자,김평석 기자 = 전국의 읍·면지역 우체국과 대구·청도 지역 우체국이 4일 총 70만장의 마스크를 판매한다.",여주연#강은석#김평석,우체국,"대구,청도 지역#서울,용인"
"또 춘천 데이터센터는 에너지 효율을 극대화 하기 위해 태양광 등 신재생 에너지를 적극 활용하고, 자연바람을 활용해 전력효율을 향상시키는 친환경·최첨단 시설을 갖추고 있다.",NaN,데이터센터,춘천
이번 특허 기술로 이런 장애물을 제거할 수 있을 것으로 본다고 스퀘어 측은 기대했다.스퀘어는 기존 암호화폐 지갑에 '비트코인 라이트닝' 솔루션을 적용해 쉽게 결제 속도를 높이는 기술도 개발 중이다.,NaN,스퀘어#스퀘어,NaN
모스랜드는 오는 4월 루니버스 기반 토큰을 발행할 예정이다.,NaN,모스랜드,NaN
"과장·팀장급에서는 장병주 혁신행정담당과장, 서성일 정보통신산업정책과장, 엄열 통신정책기획과장이 뽑혔다.국가공무원노동조합 과학기술정보통신부지부는 과기정통부 본부 및 소속기관(국립전파연구원, 중앙전파관리소) 직원을 대상으로 실시한 우수관리자 설문조사결과를 발표했다.조사는 지난달 20일부터 26일까지 진행했다.",장병주#서성일#엄열,과학기술정보통신부지부@#과기정통부#국립전파연구원#중앙전파관리소,NaN
미니 LED는 LCD나 OLED에 비해 ‘번인’ 우려가 적은 데다 명암대비가 더 선명한 강점을 갖고 있다.애플은 최근 코로나19 사태로 3월 분기 실적 달성이 힘들 것이라고 경고했다.,NaN,애플,NaN
"엔씨는 다중 접촉 환경을 최소화하고, 순환 근무를 통해 근무 밀도를 완화하기 위해 유급휴가가 끝나면 9일부터 20일까지 2주간 전사 재택근무제를 시행하기로 했다.",NaN,엔씨,NaN
"직원 중 코로나19 확진자가 나오면서 아이덴티티게임즈는 질병관리본부 통제에 따라 사옥 폐쇄 조치에 나섰다.한편 아이덴티티게임즈는 2007년 설립된 온라인 게임 개발사로, 액션 역할수행게임(RPG) '드래곤네스트' 등을 개발했다.",NaN,아이덴티티게임즈@#아이덴티티게임즈@#,사옥
엔씨소프트는 9일부터 20일까지 부서별 인원의 50%가 순환하는 방식으로 재택근무도 시행한다.위메이드의 경우 지난달까지 시행했던 재택근무를 13일까지 진행하기로 했다.,NaN,엔씨소프트@#위메이드@#,NaN
"사람의 목소리를 인식하는 음성 인식 기술 및 질문 의도까지 이해하는 자연어 처리 기술, 다양한 조건에서 문자를 인식하는 문자 인식 기술(OCR) 등 다양한 AI 기술 발전 및 개선을 지속하고 있으며, 외부 파트너와의 연계도 강화한다는 계획이다.이를 위해 제일 먼저 라인은 내부 AI 관련 조직 통합에 나선다.",NaN,라인@,NaN
당시 한누리 측은 배상금으로 1인당 20만원을 청구했다.,NaN,한누리,NaN
"한국과 상관없는 반중국정부 사이트 링크에 격렬한 반응을 보이거나, '나는 개인이오' 등 어색한 한국말을 쓰며 댓글을 다는 등 납득하기 어려운 대응이 곳곳에서 이어지고 있다는 주장이다.김 의원의 주장대로 중국은 올 초 대만 총통 선거를 앞두고 선거 개입설에 휘말린 바 있다.",김 의원@,NaN,한국@#중국@
"하지만 이런 통념을 뒤엎고 약 7천500만년 전 새끼 공룡 화석에서 연골세포와 염색체, DNA를 확인했다는 연구 결과가 학계에 보고돼 높은 관심을 받고 있다.",NaN,NaN,NaN
무단 전재-재배포 금지,NaN,NaN,NaN
국회에 계류 중인 '타다 금지법'(여객자동차운수사업법 개정안)이 4일 국회 법제사법위원회 전체회의에서 논의될 가능성이 크기 때문이다.박홍근 더불어민주당 의원이 발의한 여객운수법 개정안은 '타다 금지'의 내용을 포함하고 있다.,박홍근,국회@#국회#법제사법위원회#더불어민주당,NaN
"카카오 제공신종 코로나바이러스 감염증(코로나19) 여파로 여러 사람이 타고 내리는 택시 위생을 우려하는 이들을 위해 카카오모빌리티 협력사가 선제적 방역 조치에 나섰다.2일 카카오모빌리티에 따르면 프리미엄 택시 호출 서비스 ‘카카오T블루’ 대구 공식 협력사인 DGT모빌리티(이하 DGT)는 카카오T블루 1,500대 전차량에 공기 속 미세 입자를 제거하는 고성능 필터 헤파필터를 장착했다.",NaN,카카오#카카오모빌리티#카카오모빌리티@#DGT모빌리티,대구
모든 동물이 산소로 호흡하고 있다는 가정은 무엇보다도 동물이 다세포적이고 고도로 발달된 유기체라는 사실에 근거를 두고 있다.,NaN,NaN,NaN
전차가 다닐 수 없는 서울의 구석구석으로 버스 노선을 확장해서 일종의 지선 역할을 부여한 것이다.,NaN,NaN,서울@#수도권
기업이 원하는 보안과 관리 기능을 추가해 업무용으로 적합하면서도 편리함을 갖춘 서비스로 개발하는 것을 목표로 하고 있다.,NaN,NaN,NaN
"[사진=애플 앱스토어 캡처]지난해 11월 문화체육관광부가 입법 예고한 웹보드 게임 규제 완화안(게임산업진흥에 관한 법률 시행령 일부 개정안)은 일 손실 10만원 한도, 접속규제 완화를 주 골자로 하고 있다.",NaN,애플#문화체육관광부@,NaN
국내망 용량을 증설했음은 물론이다.,NaN,NaN,NaN
한편 카카오에 따르면 이날 내부 네트워크의 일시적인 오류 발생으로 오전8시58분부터 10시17분까지 약 1시간20분간 일부 이용자 대상으로 카카오톡 모바일 및 PC버전에서 메시지 수발신 및 로그인 불가 문제가 발생했다.,NaN,카카오@,NaN
/오승현기자[서울경제] 국내 신종 코로나바이러스 감염증(코로나19)의 주요 발원지는 대구·경북(전체 확진자의 90%)으로 꼽히지만 이외에도 전국 곳곳에서 산발적인 확진 사례가 발생했다.,NaN,NaN,"대구,경북"
탑라이너인 장하권의 기량이 여전히 리그 정상급이며 미드라이너 허수 역시 지난 시즌 기량을 점차 회복하고 있기에 지금보다 높은 자리를 노려볼 수 있는 팀이다.,장하권@#허수,NaN,NaN
